DateTime,Program,Iterations,Resolution,Width,Height,Step,Scheduling,Threads,Time (seconds)
Dec 28 2024 13:55:28,mandelbrot_amd_ext_DYNAMIC.exe,1000,2000,6000,4000,0.0005,DYNAMIC,8,2.71778
Dec 28 2024 13:55:35,mandelbrot_amd_ext_DYNAMIC.exe,2000,2000,6000,4000,0.0005,DYNAMIC,8,5.28057
Dec 28 2024 13:55:51,mandelbrot_amd_ext_DYNAMIC.exe,4000,2000,6000,4000,0.0005,DYNAMIC,8,10.5509
Dec 28 2024 13:56:04,mandelbrot_amd_ext_DYNAMIC.exe,1000,4000,12000,8000,0.00025,DYNAMIC,8,10.936
Dec 28 2024 13:56:36,mandelbrot_amd_ext_DYNAMIC.exe,2000,4000,12000,8000,0.00025,DYNAMIC,8,21.3868
Dec 28 2024 13:57:32,mandelbrot_amd_ext_DYNAMIC.exe,4000,4000,12000,8000,0.00025,DYNAMIC,8,42.276
Dec 28 2024 13:58:28,mandelbrot_amd_ext_DYNAMIC.exe,1000,8000,24000,16000,0.000125,DYNAMIC,8,43.6605
Dec 28 2024 14:00:34,mandelbrot_amd_ext_DYNAMIC.exe,2000,8000,24000,16000,0.000125,DYNAMIC,8,85.6442
Dec 28 2024 14:04:10,mandelbrot_amd_ext_DYNAMIC.exe,4000,8000,24000,16000,0.000125,DYNAMIC,8,169.471
Dec 28 2024 14:04:43,mandelbrot_amd_ext_DYNAMIC.exe,1000,1000,3000,2000,0.001,DYNAMIC,16,0.491327
Dec 28 2024 14:04:44,mandelbrot_amd_ext_DYNAMIC.exe,2000,1000,3000,2000,0.001,DYNAMIC,16,0.911466
Dec 28 2024 14:04:47,mandelbrot_amd_ext_DYNAMIC.exe,4000,1000,3000,2000,0.001,DYNAMIC,16,1.69085
Dec 28 2024 14:04:49,mandelbrot_amd_ext_DYNAMIC.exe,1000,2000,6000,4000,0.0005,DYNAMIC,16,1.76156
Dec 28 2024 14:04:55,mandelbrot_amd_ext_DYNAMIC.exe,2000,2000,6000,4000,0.0005,DYNAMIC,16,3.35556
